scode,name,abbrev,time_per,awd_date,rec_by,labelfile,award_id,trait
178,Student of the Month,SoM,september2017,09/29/2017,09/26/2017,martone_student_of_the_month,SoM568,RESPECT
"",Artist Extraordinaire,AX,september2017,11/03/2017,11/10/2017,Sierra_View_Artist_Extraordinaire_copy,AX587,""
"",Awesome Athlete,AA,september2017,11/03/2017,10/13/2017,Sierra_View_Awesome_Athlete_copy,AA588,""
"",Artist Extraordinaire,AX,january2018,"","",Sierra_View_Artist_Extraordinaire_copy,AX580,""
"",Awesome Athlete,AA,january2018,"","",Sierra_View_Awesome_Athlete_copy,AA581,""
"",Exemplary Citizen,EC,january2018,"","",Sierra_View_Exemplary_Citizen_copy,EC582,""
"",Gold Honor Roll,GHR,january2018,11/06/2017,11/01/2017,Sierra_View_Gold_Honor_Roll_copy,GHR579,""
"",Perfect Attendance Trimester,PAT,january2018,"","",Sierra_View_Perfect_Attendance_TRIMESTER_copy,PAT584,""
"",Reading Achievement,RE,january2018,"","",Sierra_View_Reading_Achievement_copy,RE585,""
"",Silver Honor Roll,SHR,january2018,"","",Sierra_View_Silver_Honor_Roll_copy,SHR586,""
